id;acreedorCodigoSap;ruc;telefono;idCondicionPago;idMoneda;idTipoProveedor;email;razonSocial;tipoPersona;direccionFiscal;emailRetencion
1;1000006;20525132278;;NT60;PEN;1;administracion@verken.com.pe;VERKEN S.A.C;J;CAL. LOS PLASTICOS NRO. 255 URB. VULCANO;
2;1000007;20562975374;;NT60;PEN;1;lpaucar@geohidraulica.com.pe;CONSORCIO GEOHIDRAULICA S.A.C.;J;AV. LOS FRUTALES NRO. 675 DPTO. 101 URB. RESIDENCIAL;
3;1000009;20556832634;;NT60;PEN;1;alejandro@tpxtech.com;TPX TOTAL POWER PERU S.A.C.;J;CAL. JUAN FANNING NRO. 621 DPTO. 101 MIRAFLORES (MIRAFLORES);
4;1000010;20535689394;;NT60;PEN;1;yosselyn.zavala@overprimegroup.com;OVERPRIME MANUFACTURING SAC;J;AV. ALAMEDA SUR NRO. 216 URB. VILLA MARINA (ALT. OVALO LA CA;
5;1000012;20602555462;;NT60;PEN;1;maricielo.chanzapa@aycperu.pe;ASIENTOS COMPONENTES & SERVICIOS S.A.C.;J;AV. DON AGUSTO MZA. J LOTE 2 URB. LOS HUERTOS DE VILLA;
6;1000016;20605874348;;NT60;PEN;1;ventas@mecpesa.com;MAQUINARIAS EQUIPOS Y CONTRATACIONES;J;CAL. 01 LOTE. 12 DPTO. G1 APV. LOS CLAVELES;
7;1000019;20601547466;;NT60;PEN;1;patricia.quispe@digitech.pe;DIGITECH INNOVA S.A.C.;J;CAL. GERMAN SCHEREIBER NRO 276 URB. SANTA ANA;
8;1000025;20522184030;;NT60;PEN;1;Isabel.fiestas@normet.com;NORMET PERU SRL;J;MEGACENTRO IND SUR LOTE A22 CRUCE AV MARIA TESORO Y E;
9;1000026;20600177118;;NT30;PEN;1;ruthblua@gesteinsac.com;EMPRESA DE TRANSPORTES;J;CAL.MONTES REVILLA MZA. M2 LOTE. 2 ASC. LAS MALVINAS;
10;1000027;20511349584;;NT60;PEN;1;carmenflores@supportindustrialsac.com;SUPPORT INDUSTRIAL S.A.C.;J;MZA. A LOTE. 2 URB. VILLA ANGELITA;
11;1000028;20549202960;;NT00;PEN;1;jhael@insideb2b.com;INSIDE BUSINESS TO BUSINESS S.A.C.;J;JR. TOMAS RAMSEY NRO. 930 INT. 406;
12;1000032;20489679222;;NT60;PEN;1;gerenciageneral@sergensaf.com;EMPRESA DE SERVICIOS GENERALES;J;AV. DANIEL ALCIDES CARRION NRO 5 C.P. SACRA FAMILIA;
13;1000033;20524156670;;NT60;PEN;1;administracion@bresdelperu.com;BRESDEL SAC;J;CAL. LOS ALGUACILES NRO. 232 URB. LAS GARDENIAS (CRUCE DE CA;
14;1000035;20110963875;;NT90;PEN;1;dpaco@neumaperu.com.pe;NEUMA PERU CONTRATISTAS GENERALES S.A.C.;J;AV. NICOLAS DE AYLLON NRO 2142 URB.INDUST.SANTA LUCIA;
15;1000037;20600449100;;NT15;PEN;1;COMERCIAL@MURAZZOCONSULTORES.COM;MURAZZO CONSULTORES S.A.C;J;AV. SAN LUIS NRO 1950 INT. 706 URB. SAN BORJA NORTE;
16;1000038;20196584227;;NT60;PEN;1;ventas@hmrepresentaciones.com.pe;H. M. REPRESENTACIONES S.A.C.;J;CAL. ENRIQUE CIPRIANI NRO. 341 URB. SANTA CATALINA (ALT DE I;
17;1000040;20131529008;;NT90;PEN;1;santana@sekurperu.com.pe;SEKUR PERU S.A.;J;CAL. RICARDO ANGULO NRO. 782 URB. CORPAC (ESPALDA MINISTERIO;
18;1000041;20550112737;;NT60;PEN;1;contabilidad@gestemindperu.com;GESTION TECNICA MINERA E INDUSTRIAL PERU;J;PJ. PERICLES NRO. 184 URB. BENJAMIN DOIG LOSSIO (A5-10,ALT D;
19;1000042;20600870581;;NT60;PEN;1;ventas@aircompress.pe;AIR COMPRESS PERU S.A.C.;J;AV. TUPAC AMARU MZA. V1 LOTE 13;
20;1000045;20102187211;;NT00;PEN;1;rdominguez@ssays.com;SALUBRIDAD SANEAMIENTO AMBIENTAL;J;PJ. GRAL VIVANCO NRO. 100 URB. CLEMENT (ALT CDRA 6 AV SUCRE);
21;1000046;20100070031;;NT60;PEN;1;juan.velasquez@volvo.com;VOLVO PERU SA;J;CAR. PANAMERICANA SUR KM 23.88 KM. 23.8 URB. PANAMERICANA SU;
22;1000047;20100157315;;NT60;PEN;1;dlugo@lasirena.com.pe;CORPORACION LA SIRENA SAC;J;JR. GONZALES PRADA NRO. 420 RES. SURQUILLO;
23;1000048;20605299866;;NT60;PEN;1;dperez@zenturysec.com;ZENTURY SECURITY S.A.C.;J;AV. ARAMBURU NRO 878;
24;1000049;20134690080;;NT60;PEN;1;oabantos@famaisealjet.com;FAMAI SEAL JET S.A.C.;J;CAL. JACINTO IBAÑEZ NRO 510 Z.I. PARQUE INDUSTRIAL;
