id;acreedorCodigoSap;ruc;telefono;idCondicionPago;idMoneda;idTipoProveedor;email;razonSocial;tipoPersona;direccionFiscal;emailRetencion
1;1001973;20610880968;;NT60;USD;1;taesarentacar@gmail.com;TAESA RENT A CAR S.A.C.;J;MZA. D LOTE. 10 OTR. EXFDO LA ESTRELLA LOTES 103A Y 103B;
2;1002331;20613538411;;NT90;USD;1;riluant@gmail.com;SERGEN LAZVAL S.A.C.;J;CAL.HERNESTO SAUCE NRO. SN C.P. CANCHACUCHO;
3;1001877;20537420252;;NT90;PEN;1;ventas@compipro.net;GRUPO COMPINA S.A.C.;J;CAL.COYLLUR NRO. 176 URB. ZARATE LIMA;
4;1000330;20519339235;;NT60;USD;1;cobranzas@csticorp.biz;CHAIN SERVICES TI SAC - CSTI;J;AV. MANUEL OLGUIN NRO. 325 (PISO 12 - OP 14) LIMA ;
5;1002469;20613918664;;NT90;PEN;1;comedorhoteleriajjab@gmail.com;INVERSIONES GENERALES JJA&B KOKY SAC.;J;JR. 2 DE MAYO KM. 49.8 OTR. JR 2 DE MAYO BARRIO ARENALES;
6;1002573;20603471980;;NT90;PEN;1;m.diaz@rimbasac.com;RADIADORES INDUSTRIAL MBA SOCIEDAD ANONIMA CERRADA;J;MZA. W2 LOTE. 01 URB. CIUDAD DEL PESCADOR PROV. CONST. DEL CALLAO;
7;1002633;20535604828;;NT90;PEN;1;asistente.administrativo@coelpra.com;COMERCIAL ELECTRICA PRADO S.A.C. - COELPRA S.A.C.;J;AV. AREQUIPA NRO. 330 INT. 806 URB.;
8;1002540;20100821371;;NT90;PEN;1;Ventasserv@autoesparsanluis.com;UTOESPAR S A;J;AV. ALFREDO MENDIOLA NRO. 1635 URB. LA MILLA;
9;1002698;20604333394;;NT90;PEN;1;theparleycompany@gmail.com;PARLEY S.A.C.;J;FIDELLI NRO. 101 LIMA - LIMA - BARRANCO;
10;1002396;20603916370;;NT90;USD;1;ventas@jlsupplysac.com;J & L SUPPLY S.A.C.;J;PJ. SANTA NICOLASA MZA. F1 LOTE. 11 A.H. EL AMAUTA ZONA A LIMA;
11;1000411;20542497646;;NT90;USD;1;20542497646@correo.com;BERAUN R S.A.C. EMPRESA DE SERVICIOS MULTIPLES;J;CAL.ALTO PERU NRO. 67 PBLO. TINYAHUARCO (FRENTE AL LOCAL COMUNAL SMELTER) PASCO;
12;1000389;20529169508;;NT60;PEN;1;20529169508@correo.com;SANIANDINO SOCIEDAD ANONIMA CERRADA;J;AV. PERU MZA. 18 LOTE. 10 P.J. COLUMNA PASCO (A ESPALDA DEL RELOJ DE CAMPANA) PASCO;
13;1001437;20559862585;;NT90;PEN;1;mariano@norteconsultora.com;PANDORA MARKETING S.A.C.;J;CAL.EL PINO SILVESTRE NRO. 136 DPTO. 302 URB. EL PEDREGAL LIMA ;
14;1000320;20489575010;;NT00;USD;1;20489575010@correo.com;EMPRESA MINERA INMACULADA CONCEPCION DE SMELTER SOCIEDAD ANONIMA;J;JR. GRAU NRO. 13 TINYAHUARCO;
15;1000494;20501622819;;NT60;USD;1;eticona@transmar.com.pe;TRANSMAR EXPRESS SAC;J;AV. NICOLAS ARRIOLA NRO. 197 (A 1 CDRA.DE JAVIER PRADO) LIMA;
16;1000020;20571518466;;NT60;USD;1;administracion@transporteselangel.com.pe;TRANSPORTES EL ANGEL E & M S.A.C.;J;MZA. L LOTE 02 C.P. 09 DE OCTUBRE;
17;1000030;20391062057;;NT30;PEN;1;cperez@isem.org.pe;INSTITUTO DE SEGURIDAD MINERA;J;AV. CANADA NRO. 1221 URB. SANTA CATALINA LIMA;
18;1002279;20605880119;;NT90;PEN;1;jrojas@cuncushmining.com;CUNCUSH MINING CORPORATION S.A.C.;J;AV. OSCAR R. BENAVIDES NRO. 2579 DPTO. 405 LIMA - LIMA;
