id;acreedorCodigoSap;ruc;telefono;idCondicionPago;idMoneda;idTipoProveedor;email;razonSocial;tipoPersona;direccionFiscal;emailRetencion
1;1000368;20541448579;;NT30;PEN;1;transportes.magori@gmail.com;SERVICIOS GENERALES MAGORI E.I.R.L.;J;AV. LOS ANDES MZA. M LOTE. 3-A (A CUATRO CUADRAS DEL OVALO D;
2;1002574;20608476114;;NT90;USD;1;transmac.admistrativo@gmail.com;TRANSPORT LOGISTIC MACARIO S.A.C.;J;MZA. W1 LOTE. 9 URB. LAS TERRAZAS DE CARAPONGUILLO;
3;1002233;20553778043;;NT00;PEN;1;mapolaya@masaccountingsac.com;MAS ACCOUNTING S.A.C.;J;AV. LA ESMERALDA NRO. 295 DPTO. 103 URB. CHACARILLA DEL ESTANQUE LIMA - LIMA - SAN BORJA;
4;1001160;20608562339;;NT60;PEN;1;informes@gerensperu.com;CENTRO DE CAPACITACION EMPRESARIAL GERENS PERU S.A.C.;J;CAL.ALEX BARCLAY NRO. 118 URB. VISTA ALEGRE LIMA;
5;1002758;20602124097;;NT90;PEN;1;Comercial@2mmicon.com;2M MICON S.A.C.;J;CAL.SIMON BOLIVAR MZA. A LOTE. 34 URB. EL TREBOL ET. TRES LIMA;
6;1002865;20515057511;;NT90;PEN;1;KVILLA@INPECON.COM;CONCRETERA ANDINA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - CONCRETERA ANDINA S.R.L.;J;JR. LOS FRAYLES NRO. 100 (LOS FRAYLES ESQUINA SANTA FELICIA;
7;1001713;20538880117;;NT30;PEN;1;bruno@ninjagrafico.com;NINJA GRAFICO S.A.C.;J;ASOC. VIVI. EL PROGRESO MZA. Q LOTE. 1 SAN JUAN DE MIRAFLORE;
8;1002504;20612065463;;NT90;PEN;1;irosaspsac@gmail.com;INVERSIONES ROSAS PAMPA S.A.C.;J;AV. JHON F. KENNEDY KM. 2 (ALCOSTADO DEL RESTAUTANTE DONDE AYACUCHO - LUCANAS - PUQUIO;
9;1002549;20556117935;;NT90;USD;1;ventas@kp-sac.com;KP TECNOLOGIA INDUSTRIAL S.A.C.;J;CALLE 2 MZ. B LOTE 6A - EX FUNDO ZAVALETA - ATE;
10;1001803;20612953199;;NT90;PEN;1;lorena@chancaytrade.com.pe;CHANCAYTRADE S.A.C;J;JR. PEDRO CONDE NRO. 139 DPTO. 1001 LIMA - LIMA - LINCE;
11;1002628;20609624249;;NT90;USD;1;alec@skie.io;SKIE IO S.A.C.;J;AV. SANTO TORIBIO NRO. 173 URB. EL ROSARIO LIMA - LIMA - SAN ISIDRO;
12;1002224;20538016412;;NT30;PEN;1;metanengraving@gmail.com;METAL ENGRAVING E.I.R.L.;J;JR. JACINTO BENAVENTE NRO. 122 URB. CIUDAD Y CAMPO LIMA - LIMA - RIMAC;
13;1001976;20510132719;;NT90;PEN;1;agraficaideal@gmail.com;GRAFICA IDEAL E.I.R.L;J;JR. ALMIRANTE GUISSE NRO. 1869 LIMA - LIMA - LINCE;
14;1002730;20602700314;;NT90;PEN;1;rubriacin4.sac@gmail.com;RUBRIACIN S.A.C.;J;MZA. G-11 LOTE. 6 URB. LAS DELICIAS DE VILLA LIMA - LIMA - CHORRILLOS;
15;1002324;20601149631;;NT90;USD;1;jose.espinoza@fresomac.com;FRESOMAC S.A.C.;J;R. JOSE DE LA MAR MZA. H LOTE. 3-3A SEC RUSTICO SAN EUGENIO LIMA - LIMA - LURIGANCHO;
