codigoSap,denominacion,nivel,direccion,poblacion,distrito
1001,Central Alconsa,1,MZA. D LOTE. 95 PARCELACION CASABLANCA,LIMA,PACHACAMAC
1002,Central de Suministros,1,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
1003,Central Plantel 1,1,PARCEL.HUERTOS DE VILLENA MZA. L LOTE. 2 HUERTOS DE VILLENA,LIMA,PACHACAMAC
1004,CD Chorrillos,1,AV. EL SOL NRO. 1395,LIMA,CHORRILLOS
1005,CD San Miguel - B,1,AV. LA PAZ NRO. 1150 (ESQ CALLE FRANCSICO DE ZELA),LIMA,SAN MIGUEL
1006,CD Independencia,1,CAL. LAS FRAGUAS MZA. A LOTE. 5 URB. LOTIZ IND.PANAM.NORTE,LIMA,INDEPENDENCIA
1007,CD Surquillo,1,JR. PORTOCARRERO 347 Z.I. SURQUILLO(ANTES CALLE CASTROVIRREINA),LIMA,SURQUILLO
1008,CD AA.VV. puente piedra - B,1,LOS ALGARROBOS MZA. B LOTE. 21N,LIMA,PUENTE PIEDRA
1009,CD PT Puente Piedra - B,1,AV. SAN JUAN MZA. F LOTE. 6 URB. LAS VEGAS 1 ETAPA,LIMA,PUENTE PIEDRA
1010,CD PT Ate,1,AV. SEPARADORA INDUSTRIAL NRO. 4181 URB. PORTALES DE JAVIER PRADO,LIMA,ATE
1011,CD Friocenter - B,1,AV. EL PACIFICO NRO. 482,CALLAO,CARMEN DE LA LEGUA REYNOSO
1012,CD Chiclayo - B,1,CAL. EL AYLLU NRO. 264 INT. A C.P.M. (DISTRIBUIDORES BRASERO),CHICLAYO,LA VICTORIA
1013,CA Cigüeña,1,KM. 0 PAMPA LOS PERROS (CORPORACION GANADERA),HUARAL,AUCALLAMA
1014,CA Salas,1,CAR. PANAMERICANA SUR KM. 273 (SERVICRIANZA DEL SUR),ICA,SALAS
1015,CA Chilca,1,CAR. PANAMERICANA SUR KM. 65 URB. HUERTOS DE ORO SAN HILARI,CAÑETE,CHILCA
1016,CA Carhuaz,1,CAR. ICA A CARHUAS KM. 13.7 PAMPA BIOCOCHINOS (SERVICRIANZA DEL SUR),ICA,ICA
1017,CA Huarmey,1,CAR. PANAMERICANA NORTE KM. 306 LA CALETA,HUARMEY,CULEBRAS
1018,CA Con Con,1,CAR. PANAMERICANA SUR KM. 155 QUEBRADA CON CON,CAÑETE,LUNAHUANA
1019,CA Iwanco,1,CAR. SAYAN KM. 25 IRRIGACION SANTA ROSA,HUAURA,SAYAN
1020,Cross Docking Surquillo - B,1,JR. PORTOCARRERO NRO. 347 Z.I. SURQUILLO (ANTES CALLE CASTROVIRREINA),LIMA,SURQUILLO
1021,Cross Docking Friocenter - B,1,AV. EL PACIFICO NRO. 482,CALLAO,CARMEN DE LA LEGUA REYNOSO
1022,Cross Docking Ate,1,AV. SEPARADORA INDUSTRIAL NRO. 4181URB. PORTALES DE JAVIER PRADO,LIMA,ATE
1023,Universidad Cayetano Heredia,1,AV. VARGAS MACHUCA N 533(URB. INGENIERIA).,LIMA,SAN MARTIN DE PORRES
1024,Central Sachilsa,1,AV. LAS PALMERAS MZA. N LOTE. 0 URB. PAPA LEON XIII,CAÑETE,CHILCA
