codigoSapPadre,codigoSap,denominacion,nivel,direccion,poblacion,distrito
1001,1400,Alm. Suminis.,2,MZA. D LOTE. 95 PARCELACION CASABLANCA,LIMA,PACHACAMAC
1002,1400,Alm. Suminis.,2,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
1002,1401,Alm. Suminis. 2,2,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
1002,9999,Alm. Suminis.,2,AV. REPUBLICA DE PANAMA 4295 SURQUILLO,LIMA,SURQUILLO
1003,1400,Alm. Suminis.,2,PARCEL.HUERTOS DE VILLENA MZA. L LOTE. 2 HUERTOS DE VILLENA,LIMA,PACHACAMAC
1004,1000,Alm.Principal PT,2,AV. EL SOL NRO. 1395,LIMA,CHORRILLOS
1005,1000,Alm.Principal PT,2,AV. LA PAZ NRO. 1150 (ESQ CALLE FRANCSICO DE ZELA),LIMA,SAN MIGUEL
1006,1000,Alm.Principal PT,2,CAL. LAS FRAGUAS MZA. A LOTE. 5 URB. LOTIZ IND.PANAM.NORTE,LIMA,INDEPENDENCIA
1006,1005,Alm Devoluc. Vta,2,CAL. LAS FRAGUAS MZA. A LOTE. 5 URB. LOTIZ IND.PANAM.NORTE,LIMA,INDEPENDENCIA
1007,1000,Alm.Principal PT,2,JR. PORTOCARRERO 347 Z.I. SURQUILLO(ANTES CALLE CASTROVIRREINA),LIMA,SURQUILLO
1007,1001,Alm. Congelados,2,JR. PORTOCARRERO 347 Z.I. SURQUILLO(ANTES CALLE CASTROVIRREINA),LIMA,SURQUILLO
1007,1002,Alm. de Huevos,2,JR. PORTOCARRERO 347 Z.I. SURQUILLO(ANTES CALLE CASTROVIRREINA),LIMA,SURQUILLO
1007,1400,Alm. Suminis.,2,JR. PORTOCARRERO 347 Z.I. SURQUILLO(ANTES CALLE CASTROVIRREINA),LIMA,SURQUILLO
1007,1401,Alm. Suminis. 2,2,JR. PORTOCARRERO 347 Z.I. SURQUILLO(ANTES CALLE CASTROVIRREINA),LIMA,SURQUILLO
1007,1900,Alm. Inv Ciclico,2,JR. PORTOCARRERO 347 Z.I. SURQUILLO(ANTES CALLE CASTROVIRREINA),LIMA,SURQUILLO
1008,1000,Alm.Principal PT,2,LOS ALGARROBOS MZA. B LOTE. 21N,LIMA,PUENTE PIEDRA
1009,1000,Alm.Principal PT,2,AV. SAN JUAN MZA. F LOTE. 6 URB. LAS VEGAS 1 ETAPA,LIMA,PUENTE PIEDRA
1010,1000,Alm.Principal PT,2,AV. SEPARADORA INDUSTRIAL NRO. 4181 URB. PORTALES DE JAVIER PRADO,LIMA,ATE
1010,1001,Alm. Congelados,2,AV. SEPARADORA INDUSTRIAL NRO. 4181 URB. PORTALES DE JAVIER PRADO,LIMA,ATE
1010,1002,Alm. de Huevos,2,AV. SEPARADORA INDUSTRIAL NRO. 4181 URB. PORTALES DE JAVIER PRADO,LIMA,ATE
1010,1003,Alm. Embutidos,2,AV. SEPARADORA INDUSTRIAL NRO. 4181 URB. PORTALES DE JAVIER PRADO,LIMA,ATE
1010,1004,Alm. Vta Urgente,2,AV. SEPARADORA INDUSTRIAL NRO. 4181 URB. PORTALES DE JAVIER PRADO,LIMA,ATE
1010,1005,Alm Devoluc. Vta,2,AV. SEPARADORA INDUSTRIAL NRO. 4181 URB. PORTALES DE JAVIER PRADO,LIMA,ATE
1010,1400,Alm. Suminis.,2,AV. SEPARADORA INDUSTRIAL NRO. 4181 URB. PORTALES DE JAVIER PRADO,LIMA,ATE
1010,1900,Alm. Inv Ciclico,2,AV. SEPARADORA INDUSTRIAL NRO. 4181 URB. PORTALES DE JAVIER PRADO,LIMA,ATE
1011,1000,Alm.Principal PT,2,AV. EL PACIFICO NRO. 482,CALLAO,CARMEN DE LA LEGUA REYNOSO
1011,1003,Alm. Embutidos,2,AV. EL PACIFICO NRO. 482,CALLAO,CARMEN DE LA LEGUA REYNOSO
1012,1000,Alm.Principal PT,2,CAL. EL AYLLU NRO. 264 INT. A C.P.M. (DISTRIBUIDORES BRASERO),CHICLAYO,LA VICTORIA
1013,1100,Alm. General,2,KM. 0 PAMPA LOS PERROS (CORPORACION GANADERA),HUARAL,AUCALLAMA
1014,1100,Alm. General,2,CAR. PANAMERICANA SUR KM. 273 (SERVICRIANZA DEL SUR),ICA,SALAS
1015,1100,Alm. General,2,CAR. PANAMERICANA SUR KM. 65 URB. HUERTOS DE ORO SAN HILARI,CAÑETE,CHILCA
1016,1100,Alm. General,2,CAR. ICA A CARHUAS KM. 13.7 PAMPA BIOCOCHINOS (SERVICRIANZA DEL SUR),ICA,ICA
1016,1101,Almacén Alimento,2,CAR. ICA A CARHUAS KM. 13.7 PAMPA BIOCOCHINOS (SERVICRIANZA DEL SUR),ICA,ICA
1017,1100,Alm. General,2,CAR. PANAMERICANA NORTE KM. 306 LA CALETA,HUARMEY,CULEBRAS
1018,1100,Alm. General,2,CAR. PANAMERICANA SUR KM. 155 QUEBRADA CON CON,CAÑETE,LUNAHUANA
1018,1101,Almacén Alimento,2,CAR. PANAMERICANA SUR KM. 155 QUEBRADA CON CON,CAÑETE,LUNAHUANA
1019,1100,Alm. General,2,CAR. SAYAN KM. 25 IRRIGACION SANTA ROSA,HUAURA,SAYAN
1019,1101,Almacén Alimento,2,CAR. SAYAN KM. 25 IRRIGACION SANTA ROSA,HUAURA,SAYAN
1020,1000,Alm.Principal PT,2,JR. PORTOCARRERO NRO. 347 Z.I. SURQUILLO (ANTES CALLE CASTROVIRREINA),LIMA,SURQUILLO
1021,1000,Alm.Principal PT,2,AV. EL PACIFICO NRO. 482,CALLAO,CARMEN DE LA LEGUA REYNOSO
1022,1000,Alm.Principal PT,2,AV. SEPARADORA INDUSTRIAL NRO. 4181URB. PORTALES DE JAVIER PRADO,LIMA,ATE
1023,1000,Alm.Principal PT,2,AV. VARGAS MACHUCA N 533(URB. INGENIERIA).,LIMA,SAN MARTIN DE PORRES
1024,1100,Alm. General,2,AV. LAS PALMERAS MZA. N LOTE. 0 URB. PAPA LEON XIII,CAÑETE,CHILCA
1024,1400,Alm. Suminis.,2,AV. LAS PALMERAS MZA. N LOTE. 0 URB. PAPA LEON XIII,CAÑETE,CHILCA
1024,1401,Alm. Suminis. 1,2,AV. LAS PALMERAS MZA. N LOTE. 0 URB. PAPA LEON XIII,CAÑETE,CHILCA
1024,1403,Alm. Suminis. 3,2,AV. LAS PALMERAS MZA. N LOTE. 0 URB. PAPA LEON XIII,CAÑETE,CHILCA
1026,1000,Alm.Principal PT,2,PARCELA NRO. REF. EX PREDIO LA CAPILLA (18881-18879),SULLANA,SULLANA
1027,1000,Alm.Principal PT,2,AV. DEL CASTILLO NRO. 301 URB. INDUSTRIAL SANTA ROSA,LIMA,ATE
1028,1100,Alm. General,2,AV. INDUSTRIAL NRO. S/N (SECCION 3LAS PRADERAS DE LURIN),LIMA,LURIN
1028,1101,Por Nacionalizar,2,AV. INDUSTRIAL NRO. S/N (SECCION 3LAS PRADERAS DE LURIN),LIMA,LURIN
1028,1102,Alm. General 2,2,AV. INDUSTRIAL NRO. S/N (SECCION 3LAS PRADERAS DE LURIN),LIMA,LURIN
1029,1000,Alm.Principal PT,2,CAL. ANDROMEDA NRO. 851 URB. LA CAMPIÑA MZA - J LOTE - 05,LIMA,CHORRILLOS
1029,1001,Alm. Congelados,2,CAL. ANDROMEDA NRO. 851 URB. LA CAMPIÑA MZA - J LOTE - 05,LIMA,CHORRILLOS
1029,1002,Alm. de Huevos,2,CAL. ANDROMEDA NRO. 851 URB. LA CAMPIÑA MZA - J LOTE - 05,LIMA,CHORRILLOS
1029,1003,Alm. Embutidos,2,CAL. ANDROMEDA NRO. 851 URB. LA CAMPIÑA MZA - J LOTE - 05,LIMA,CHORRILLOS
1029,1004,Alm. Vta Urgente,2,CAL. ANDROMEDA NRO. 851 URB. LA CAMPIÑA MZA - J LOTE - 05,LIMA,CHORRILLOS
1029,1005,Alm Devoluc. Vta,2,CAL. ANDROMEDA NRO. 851 URB. LA CAMPIÑA MZA - J LOTE - 05,LIMA,CHORRILLOS
1029,1400,Alm. Suminis.,2,CAL. ANDROMEDA NRO. 851 URB. LA CAMPIÑA MZA - J LOTE - 05,LIMA,CHORRILLOS
1029,1900,Alm. Inv Ciclico,2,CAL. ANDROMEDA NRO. 851 URB. LA CAMPIÑA MZA - J LOTE - 05,LIMA,CHORRILLOS
1030,1000,Alm.Principal PT,2,LOTE. 146 FND. PASAMAYO,HUARAL,AUCALLAMA
1030,1005,Alm Devoluc. Vta,2,LOTE. 146 FND. PASAMAYO,HUARAL,AUCALLAMA
1030,1400,Alm. Suminis.,2,LOTE. 146 FND. PASAMAYO,HUARAL,AUCALLAMA
1031,1000,Alm.Principal PT,2,CAR.VARIANTE PASAMAYO KM. 6 FND. EX FUNDO LA HUACA,HUARAL,HUARAL
1031,1001,Alm. Congelados,2,CAR.VARIANTE PASAMAYO KM. 6 FND. EX FUNDO LA HUACA,HUARAL,HUARAL
1031,1002,Alm. de Huevos,2,CAR.VARIANTE PASAMAYO KM. 6 FND. EX FUNDO LA HUACA,HUARAL,HUARAL
1031,1003,Alm. Embutidos,2,CAR.VARIANTE PASAMAYO KM. 6 FND. EX FUNDO LA HUACA,HUARAL,HUARAL
1031,1004,Alm. Vta Urgente,2,CAR.VARIANTE PASAMAYO KM. 6 FND. EX FUNDO LA HUACA,HUARAL,HUARAL
