idCondicionLic,opcion,puntaje,indPredefinido,usuarioCreacion,fechaCreacion
1,1 a 2 días,100,1,1,2020-06-25
1,3 a 5 días,90,,1,2020-06-25
1,5 a 7 días,70,,1,2020-06-25
1,10 a 15 días,60,,1,2020-06-25
1,más de 15 días,45,,1,2020-06-25
1,más de 30 días,30,,1,2020-06-25
1,más de 45 días,15,,1,2020-06-25
1,más de 60 días,5,,1,2020-06-25
2,SI,100,1,1,2020-06-25
2,NO,0,,1,2020-06-25
3,SI,100,1,1,2020-06-25
3,NO,0,,1,2020-06-25
5,1 a 2 días,100,1,1,2020-06-25
5,3 a 5 días,90,,1,2020-06-25
5,5 a 7 días,70,,1,2020-06-25
5,10 a 15 días,60,,1,2020-06-25
5,más de 15 días,45,,1,2020-06-25
5,más de 30 días,30,,1,2020-06-25
5,más de 45 días,15,,1,2020-06-25
5,más de 60 días,5,,1,2020-06-25
6,SI,100,1,1,2020-06-25
6,NO,0,,1,2020-06-25
7,SI,100,1,1,2020-06-25
7,NO,0,,1,2020-06-25
9,menos de 24 horas,100,1,1,2020-06-25
9,entre 24 horas y 48 horas,80,,1,2020-06-25
9,más de 48 horas,50,,1,2020-06-25
10,SI,100,1,1,2020-06-25
10,NO,0,,1,2020-06-25
11,SI,100,1,1,2020-06-25
11,NO,0,,1,2020-06-25
12,menos de 6 meses,50,,1,2020-06-25
12,entre 6 meses y 1 año,80,,1,2020-06-25
12,mayor a 1 año,100,1,1,2020-06-25
13,menos de 24 horas,100,1,1,2020-06-25
13,entre 24 horas y 48 horas,80,,1,2020-06-25
13,más de 48 horas,50,,1,2020-06-25
14,SI,100,1,1,2020-06-25
14,NO,0,,1,2020-06-25
15,SI,100,1,1,2020-06-25
15,NO,0,,1,2020-06-25
