codigoSap,descripcion,textoUm
M3,Metro cúbico,M3
UN,Unidad,UN
D,Días,D
H,Hora,H
T,Tonelada,T
MIN,Minuto,MIN
MON,Meses,MON
KG,Kilogramo,KG
HRA,Horas,HRA
M2,Metro cuadrado,M2
RS,Unidades enzimas,RS
MIL,Millar,MIL
HA,Hectárea,HA
M,Metro,M
GLN,Galón (EE.UU.),GLN
L,Litro,L
DSI,Dosis,DSI
TF,Pie,TF
PAA,Par,PAA
CT,Ciento,CT
LB,Libra (pound),LB
G,Gramo,G
DOC,Docena,DOC
CM3,Centímetro cúbico,CM3
ROL,Rollos,ROL
CJ,Caja,CJ
LC,Botella,LC
BOL,Bolsa,BOL
ML,Mililitro,ML
PKG,Paquete,PKG
%,Porcentaje,%
%O,Tanto por mil,%O
1,Lim.,1
10,Días,10
22S,Milímetro cuadrado/Segundo,22S
2M,Centímetro/Segundo,2M
2X,Metro/Minuto,2X
4G,Microlitro,4G
4O,Microfaradio,4O
4T,Picofaradio,4T
A,Amperio,A
A87,Gigaohmio,A87
A93,Gramo/Metro cúbico,A93
ACR,Acre,ACR
B34,Kilogramo/Decímetro cúbico,B34
B45,Kilomol,B45
B47,Kilonewton,B47
B73,Meganewton,B73
B75,Megaohmio,B75
B78,Megavoltio,B78
B84,Microamperio,B84
BAG,Bolsa,BAG
BAR,bar,BAR
BOT,Botella,BOT
BQK,Becquerel/Kilogramo,BQK
C10,Milifaradio,C10
C36,Mol por metro cúbico,C36
C38,Mol por litro,C38
C39,Nanoamperio,C39
C3S,Centímetro cúbico/Segundo,C3S
C41,Nanofaradio,C41
C56,Newton/Milímetro cuadrado,C56
CCM,Centímetro cúbico,CCM
CD,Candela,CD
CDM,Decímetro cúbico,CDM
CM,Centímetros,CM
CM2,Centímetro cuadrado,CM2
CMH,Centímetro/Hora,CMH
CS,Caja,CS
CTL,Centilitro,CTL
D10,Siemens por metro,D10
D41,Tonelada/Metro cúbico,D41
D46,Voltioamperio,D46
DEG,Grado,DEG
DM,Decímetro,DM
DR,Tambor,DR
DZ,Docena,DZ
EA,cada uno,EA
EE,Unidades enzimas,EE
EML,Unidades enzimas/Milímetro,EML
F,Faradio,F
FA,Fahrenheit,FA
FT,Pie,FT
FT2,Pie cuadrado,FT2
FT3,Pie cúbico,FT3
G/L,Gramo aditivo/Litro,G/L
GAU,Gramo oro,GAU
GC,Grado centígrado,GC
GHG,Gramo/Hectogramo,GHG
GJ,Gigajulio,GJ
GKG,Gramo/Kilogramo,GKG
GLI,Gramo/Litro,GLI
GLL,Galón (EE.UU.),GLL
GLM,Galones por milla (EE.UU),GLM
GM,Gramo/Mol,GM
GM2,Gramo/Metro cuadrado,GM2
GPH,Galones por hora (EE.UU),GPH
GQ,Microgramo/Metro cúbico,GQ
GRO,Grande,GRO
GW,Gramo principio activo,GW
HAR,Hectárea,HAR
HL,Hectolitro,HL
HPA,Hectopascal,HPA
HZ,Hercio (1/segundo),HZ
IN,Pulgada,IN
IN2,Pulgada cuadrada,IN2
IN3,Pulgada cúbica,IN3
J,Julio,J
JHR,Años (annum),JHR
JKG,Julio/Kilogramo,JKG
JKK,Capac.térmica espec.,JKK
JMO,Julio/Mol,JMO
K,Kelvin,K
KA,Kiloamperio,KA
KAN,Bidón,KAN
KAR,Cartón,KAR
KBK,Kilobecquerel/Kilogramo,KBK
KGF,Kilogramo/Metro cuadrado,KGF
KGK,Kilogramo/Kilogramo,KGK
KGM,Kilogramo/Mol,KGM
KGS,Kilogramo/Segundo,KGS
KGV,Kilogramo/Metro cúbico,KGV
KGW,Kilogramo principio activo,KGW
KHZ,Kilohercio,KHZ
KI,Caja,KI
KJ,Kilojulio,KJ
KJK,Kilojulio/Kilogramo,KJK
KJM,Kilojulio/Mol,KJM
KM,Kilómetro,KM
KM2,Kilómetro cuadrado,KM2
KMH,Kilómetro/Hora,KMH
KMK,Metro cúbico/Metro cúbico,KMK
KMN,Kelvin/Minuto,KMN
KMS,Kelvin/Segundo,KMS
KOH,Kiloohmio,KOH
KPA,Kilopascal,KPA
KT,Kilotoneladas,KT
KV,Kilovoltio,KV
KVA,Kilovoltioamperio,KVA
KW,Kilovatio,KW
KWH,Kilovatio-hora,KWH
KWK,Kg principio activo/kg,KWK
L2,Litro/Minuto,L2
LE,Unidad de potencia,LE
LHK,Litro por 100 km,LHK
LMS,Litro/Molécula-segundo,LMS
LPH,Litro por hora,LPH
M%,Porcentaje-masa,M%
M%O,Tanto por mil-masa,M%O
M/S,Metro/Segundo,M/S
M2I,1 / Metro cuadrado,M2I
M2S,Metro cuadrado/Segundo,M2S
M3D,Metro cúbico/día,M3D
M3S,Metro cúbico/Segundo,M3S
MA,Miliamperio,MA
MBA,Milibar,MBA
MBZ,Metrobaro/Segundo,MBZ
MEJ,Megajulio,MEJ
MG,Miligramo,MG
MGF,Miligramo/Centímetro cuadrado,MGF
MGG,Miligramo/Gramo,MGG
MGK,Miligramo/Kilogramo,MGK
MGL,Miligramo/Litro,MGL
MGQ,Miligramo/Metro cúbico,MGQ
MGW,Megavatio,MGW
MHZ,Megahercio,MHZ
MI,Milla,MI
MI2,Milla cuadrada,MI2
MIM,Micrometro,MIM
MIS,Microsegundo,MIS
MJ,Milijulio,MJ
MLK,Mililitro/Metro cúbico,MLK
MLW,Milílitro principio activo,MLW
MM,Milímetro,MM
MM2,Milímetro cuadrado,MM2
MMA,Milímetro/Año,MMA
MMG,Milimol/Gramo,MMG
MMH,Milímetro/Hora,MMH
MMK,Milimol/Kilogramo,MMK
MMO,Milimol,MMO
MMQ,Milímetro cúbico,MMQ
MMS,Milímetro/Segundo,MMS
