id;acreedorCodigoSap;ruc;telefono;idCondicionPago;idMoneda;idTipoProveedor;email;razonSocial;tipoPersona;direccionFiscal;emailRetencion
3;1001781;20609928477;;NT90;USD;1;yyampi@ingsermin.com;INGENIERIA PROYECTOS Y SERVICIOS DE MANTENIMIENTO INDUSTRIAL EIRL;J;AV. MANCO CAPAC MZA. AN LOTE. 7 OTR. LAS PRADERAS JICAMARCA LIMA ;
4;1002310;20603217323;;NT90;PEN;1;info@culspg.com;CULS PG E.I.R.L.;J;CAL.LOS AZAFRANES NRO. 121 (A 1 CDRA. DE ARCO DE SALAMANCA) LIMA;
5;1002544;20608324357;;NT90;USD;1;ventas.maqperu@gmail.com;MINERIA INGENIERIA Y CONSTRUCCION R & P S.A.C. - MINCO R & P S.A.C.;J;AV. JICAMARCA EL VALLECITO MZA. H LOTE. 19 APV. CENTRO POBLADO (ÑAÑA) LIMA;
6;1002440;20604204969;;NT90;PEN;1;alejandro.penny@rindegastos.com;RINDEGASTOS PERU S.A.C.;J;AV. REPUBLICA DE PANAMA NRO. 3535 INT. 403;
7;1001724;20604912271;;NT90;USD;1;kiomi.osorio@cuatrecasas.com;CUATRECASAS SOCIEDAD CIVIL DE RESPONSABILIDAD LIMITADA;J;AV. SANTO TORIBIO NRO. 173 URB. EL ROSARIO (ED. REAL OCHO, PISO 8, VIA CENTRAL) LIMA;
8;1002385;20512382143;;NT90;PEN;1;winny.calderon@techo.org;UN TECHO PARA MI PAIS - PERU;J;AV. JUAN DE ARONA NRO. 755 (PISO 8 OFICINA 125) LIMA;
9;1000698;20613569619;;NT90;USD;1;etel.chinchay@juroc.com.pe;JUROC S.A.C.;J;AV. JORGE BASADRE NRO. 233 INT. 602 LIMA;
10;1001879;20608371134;;NT90;USD;1;rechevarria@colmer.com.pe;COMPAÑIA COLMER S.A.C;J;AV. LAS LOMAS NRO. 798 URB. ZARATE;
11;1002515;20604962553;;NT90;PEN;1;20604962553@correo.com;DISTRIBUCIONES KHALEB S.A.C.;J;AV. DEL AIRE NRO. 1326 DPTO. 5 URB.;
12;1002516;20612975834;;NT90;USD;1;miguel.zapana@mhozoono.com;MAQUINARIAS HIDRAULICAS OZOONO S.A.C.;J;CAL.LAS ORQUIDEAS MZA. N LOTE. 4 A.V. LAS OR;
13;1002520;20489348625;;NT90;USD;1;secominc_1@yahoo.es;SERVICIOS EN CONSTRUCCION Y MINERIA DEL CENTRO S.C.R.L.;J;AV. CIRCUNVALACION ARENALES NRO. 190 INT. 2 CHAUPIMARCA;
14;1001977;20606266228;;NT15;PEN;1;alexelgutierrez@hotmail.com;SEDRA CORPORATION S.A.C.;J;JR. CUZCO NRO. 624 BAR. CCOLLANA;
15;1002499;20605873872;;NT90;USD;1;20605873872@correo.com;SOUT S.A.C.;J;CAL.KOTOSH MZA. E LOTE. 16 OTR. LA ENSENADA;
16;1002518;20454722567;;NT90;USD;1;walterconroe@hotmail.com;CONROE TRUCKS E.I.R.L.;J;AV. JORGE CHAVEZ NRO. 526 URB. IV CENTENARIO- CERCADO;
17;1001949;20553395896;;NT90;PEN;1;20553395896@correo.com;ESCOL INGENIEROS Y CONSULTORES S.A.C.;J;CAL.LAS ORQUIDEAS NRO. 675 DPTO. 201 URB. JARDIN LIMA;
