codigo,descripcion,modulo,tipo,valor,valorAsociado,usuarioCreacion,fechaCreacion
P0090001,,PROVEEDOR,GRUPO_TESORERIA,MAQUINARIA Y EQUIPO,100,1,25/06/2020 00:00:00
P0060005,,PROVEEDOR,GRUPO_TESORERIA,MATERIAS PRIMAS,110,1,25/06/2020 00:00:00
P0060013,,PROVEEDOR,GRUPO_TESORERIA,SERVICIOS VARIOS,120,1,25/06/2020 00:00:00
P0060001,,PROVEEDOR,GRUPO_TESORERIA,ALQUILERES,130,1,25/06/2020 00:00:00
P0060004,,PROVEEDOR,GRUPO_TESORERIA,ASESORIAS Y CALIFICACIÓN RIESG,140,1,25/06/2020 00:00:00
P0060002,,PROVEEDOR,GRUPO_TESORERIA,COMBUSTIBLES,150,1,25/06/2020 00:00:00
P0060005,,PROVEEDOR,GRUPO_TESORERIA,MATERIAS PRIMAS,160,1,25/06/2020 00:00:00
P0060008,,PROVEEDOR,GRUPO_TESORERIA,REPUESTOS Y ARTICULOS DE FERRE,170,1,25/06/2020 00:00:00
P0060003,,PROVEEDOR,GRUPO_TESORERIA,GENETICA,180,1,25/06/2020 00:00:00
P0060007,,PROVEEDOR,GRUPO_TESORERIA,SUMINISTROS DE GRANJA,190,1,25/06/2020 00:00:00
P0010001,,PROVEEDOR,GRUPO_TESORERIA,MACRO INSUMOS - MAIZ Y SOYA,200,1,25/06/2020 00:00:00
P0060006,,PROVEEDOR,GRUPO_TESORERIA,PRODUCTOS VETERINARIOS,205,1,25/06/2020 00:00:00
P0060010,,PROVEEDOR,GRUPO_TESORERIA,SERVICIO DE MANTENIMIENTO,210,1,25/06/2020 00:00:00
P0060010,,PROVEEDOR,GRUPO_TESORERIA,SERVICIO DE MANTENIMIENTO,220,1,25/06/2020 00:00:00
P0060010,,PROVEEDOR,GRUPO_TESORERIA,SERVICIO DE MANTENIMIENTO,225,1,25/06/2020 00:00:00
P0060005,,PROVEEDOR,GRUPO_TESORERIA,MATERIAS PRIMAS,230,1,25/06/2020 00:00:00
P0060005,,PROVEEDOR,GRUPO_TESORERIA,MATERIAS PRIMAS,240,1,25/06/2020 00:00:00
P0060006,,PROVEEDOR,GRUPO_TESORERIA,PRODUCTOS VETERINARIOS,245,1,25/06/2020 00:00:00
P0090002,,PROVEEDOR,GRUPO_TESORERIA,OBRAS CIVILES,250,1,25/06/2020 00:00:00
P0060005,,PROVEEDOR,GRUPO_TESORERIA,MATERIAS PRIMAS,260,1,25/06/2020 00:00:00
P0050001,,PROVEEDOR,GRUPO_TESORERIA,PUBLIDAD Y MARKETING,270,1,25/06/2020 00:00:00
P0060008,,PROVEEDOR,GRUPO_TESORERIA,REPUESTOS Y ARTICULOS DE FERRE,280,1,25/06/2020 00:00:00
P0060008,,PROVEEDOR,GRUPO_TESORERIA,REPUESTOS Y ARTICULOS DE FERRE,290,1,25/06/2020 00:00:00
P0030004,,PROVEEDOR,GRUPO_TESORERIA,SERVICIO DE PERSONAL,300,1,25/06/2020 00:00:00
P0060009,,PROVEEDOR,GRUPO_TESORERIA,SERVICIOS DE FRANQUICIADOS - (,305,1,25/06/2020 00:00:00
P0060013,,PROVEEDOR,GRUPO_TESORERIA,SERVICIOS VARIOS,310,1,25/06/2020 00:00:00
P0030003,,PROVEEDOR,GRUPO_TESORERIA,OTROS GASTOS DE PERSONAL,320,1,25/06/2020 00:00:00
P0060009,,PROVEEDOR,GRUPO_TESORERIA,SERVICIOS DE FRANQUICIADOS - (,330,1,25/06/2020 00:00:00
P0060007,,PROVEEDOR,GRUPO_TESORERIA,SUMINISTROS DE GRANJA,335,1,25/06/2020 00:00:00
P0060013,,PROVEEDOR,GRUPO_TESORERIA,SERVICIOS VARIOS,340,1,25/06/2020 00:00:00
P0060011,,PROVEEDOR,GRUPO_TESORERIA,SERVICIO DE TRANSPORTE,350,1,25/06/2020 00:00:00
P0060006,,PROVEEDOR,GRUPO_TESORERIA,PRODUCTOS VETERINARIOS,360,1,25/06/2020 00:00:00
P0060013,,PROVEEDOR,GRUPO_TESORERIA,SERVICIOS VARIOS,370,1,25/06/2020 00:00:00


