codigo,descripcion,modulo,tipo,valor,valorAsociado,usuarioCreacion,fechaCreacion
201,,PROVEEDOR,GRUPO_COMPRA,Compras 201,,1,25/06/2020 00:00:00
202,,PROVEEDOR,GRUPO_COMPRA,Compras 202,,1,25/06/2020 00:00:00
203,,PROVEEDOR,GRUPO_COMPRA,Compras 203,,1,25/06/2020 00:00:00
204,,PROVEEDOR,GRUPO_COMPRA,Compras 204,,1,25/06/2020 00:00:00
205,,PROVEEDOR,GRUPO_COMPRA,Compras 205,,1,25/06/2020 00:00:00
206,,PROVEEDOR,GRUPO_COMPRA,Compras 206,,1,25/06/2020 00:00:00
207,,PROVEEDOR,GRUPO_COMPRA,Compras 207,,1,25/06/2020 00:00:00
208,,PROVEEDOR,GRUPO_COMPRA,Compras 208,,1,25/06/2020 00:00:00
209,,PROVEEDOR,GRUPO_COMPRA,Compras 209,,1,25/06/2020 00:00:00
210,,PROVEEDOR,GRUPO_COMPRA,Compras 210,,1,25/06/2020 00:00:00
220,,PROVEEDOR,GRUPO_COMPRA,Comp_Nac 220,,1,25/06/2020 00:00:00
301,,PROVEEDOR,GRUPO_COMPRA,Comp.Logistica,,1,25/06/2020 00:00:00
302,,PROVEEDOR,GRUPO_COMPRA,Alm.Central,,1,25/06/2020 00:00:00
303,,PROVEEDOR,GRUPO_COMPRA,Alm.Materiales,,1,25/06/2020 00:00:00
304,,PROVEEDOR,GRUPO_COMPRA,Alm.Prod.Termin,,1,25/06/2020 00:00:00
305,,PROVEEDOR,GRUPO_COMPRA,G.General,,1,25/06/2020 00:00:00
306,,PROVEEDOR,GRUPO_COMPRA,Legal,,1,25/06/2020 00:00:00
307,,PROVEEDOR,GRUPO_COMPRA,TI,,1,25/06/2020 00:00:00
308,,PROVEEDOR,GRUPO_COMPRA,G.Calidad,,1,25/06/2020 00:00:00
309,,PROVEEDOR,GRUPO_COMPRA,Calidad Planta,,1,25/06/2020 00:00:00
310,,PROVEEDOR,GRUPO_COMPRA,G.Flota,,1,25/06/2020 00:00:00
311,,PROVEEDOR,GRUPO_COMPRA,Admin.Flota,,1,25/06/2020 00:00:00
312,,PROVEEDOR,GRUPO_COMPRA,Proyectos Flota,,1,25/06/2020 00:00:00
313,,PROVEEDOR,GRUPO_COMPRA,Mantto Flota,,1,25/06/2020 00:00:00
314,,PROVEEDOR,GRUPO_COMPRA,Flota,,1,25/06/2020 00:00:00
317,,PROVEEDOR,GRUPO_COMPRA,Comercio Exteri,,1,25/06/2020 00:00:00
318,,PROVEEDOR,GRUPO_COMPRA,Comercial,,1,25/06/2020 00:00:00
319,,PROVEEDOR,GRUPO_COMPRA,G.Operaciones,,1,25/06/2020 00:00:00
320,,PROVEEDOR,GRUPO_COMPRA,Operac Planta,,1,25/06/2020 00:00:00
321,,PROVEEDOR,GRUPO_COMPRA,Mantto Planta,,1,25/06/2020 00:00:00
322,,PROVEEDOR,GRUPO_COMPRA,Proyectos Plant,,1,25/06/2020 00:00:00
323,,PROVEEDOR,GRUPO_COMPRA,CHD,,1,25/06/2020 00:00:00
324,,PROVEEDOR,GRUPO_COMPRA,G.Gest.Hum,,1,25/06/2020 00:00:00
325,,PROVEEDOR,GRUPO_COMPRA,Relac.Labor,,1,25/06/2020 00:00:00
326,,PROVEEDOR,GRUPO_COMPRA,Des.Human,,1,25/06/2020 00:00:00
327,,PROVEEDOR,GRUPO_COMPRA,G.Finanzas,,1,25/06/2020 00:00:00
328,,PROVEEDOR,GRUPO_COMPRA,Impuestos,,1,25/06/2020 00:00:00
329,,PROVEEDOR,GRUPO_COMPRA,Adm.Central,,1,25/06/2020 00:00:00
330,,PROVEEDOR,GRUPO_COMPRA,Adm. SSGG,,1,25/06/2020 00:00:00
331,,PROVEEDOR,GRUPO_COMPRA,Administr.Plant,,1,25/06/2020 00:00:00
332,,PROVEEDOR,GRUPO_COMPRA,Tesoreria,,1,25/06/2020 00:00:00
333,,PROVEEDOR,GRUPO_COMPRA,Contabilidad,,1,25/06/2020 00:00:00
334,,PROVEEDOR,GRUPO_COMPRA,Cont Financiero,,1,25/06/2020 00:00:00
335,,PROVEEDOR,GRUPO_COMPRA,Cont Operacione,,1,25/06/2020 00:00:00
336,,PROVEEDOR,GRUPO_COMPRA,Proyectos,,1,25/06/2020 00:00:00
337,,PROVEEDOR,GRUPO_COMPRA,Fl. Intercompan,,1,25/06/2020 00:00:00
338,,PROVEEDOR,GRUPO_COMPRA,Fl. Decomisos,,1,25/06/2020 00:00:00
339,,PROVEEDOR,GRUPO_COMPRA,Seg.Industrial,,1,25/06/2020 00:00:00
340,,PROVEEDOR,GRUPO_COMPRA,Proyectos I+D,,1,25/06/2020 00:00:00
341,,PROVEEDOR,GRUPO_COMPRA,Intercambio,,1,25/06/2020 00:00:00
342,,PROVEEDOR,GRUPO_COMPRA,Auditoria,,1,25/06/2020 00:00:00
343,,PROVEEDOR,GRUPO_COMPRA,Proy Innovacion,,1,25/06/2020 00:00:00
400,,PROVEEDOR,GRUPO_COMPRA,Viveres,,1,25/06/2020 00:00:00
401,,PROVEEDOR,GRUPO_COMPRA,Bayovar,,1,25/06/2020 00:00:00
402,,PROVEEDOR,GRUPO_COMPRA,Chicama Norte,,1,25/06/2020 00:00:00
403,,PROVEEDOR,GRUPO_COMPRA,Chicama Sur,,1,25/06/2020 00:00:00
404,,PROVEEDOR,GRUPO_COMPRA,Chimbote Norte,,1,25/06/2020 00:00:00
405,,PROVEEDOR,GRUPO_COMPRA,Chimbote Sur,,1,25/06/2020 00:00:00
406,,PROVEEDOR,GRUPO_COMPRA,Chancay,,1,25/06/2020 00:00:00
407,,PROVEEDOR,GRUPO_COMPRA,Tambo de Mora,,1,25/06/2020 00:00:00
408,,PROVEEDOR,GRUPO_COMPRA,Pisco,,1,25/06/2020 00:00:00
409,,PROVEEDOR,GRUPO_COMPRA,Planchada,,1,25/06/2020 00:00:00
410,,PROVEEDOR,GRUPO_COMPRA,Ilo,,1,25/06/2020 00:00:00
411,,PROVEEDOR,GRUPO_COMPRA,Intercompany,,1,25/06/2020 00:00:00
